Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
Sheep,4,41.4,loss of appetite,sores on mouth,sores on gums,PPR
Poultry,3,43.7,twisted neck,greenish diarrhea,sudden death,Newcastle Disease
Poultry,4,44.7,depression,greenish diarrhea,fatigue,Newcastle Disease
Poultry,2,44.0,depression,sudden death,difficulty walking,Newcastle Disease
Poultry,6,44.2,fatigue,difficulty walking,chills,Newcastle Disease
Goat,6,42.0,sores on tongue,sores on mouth,foul diarrhea,PPR
Poultry,2,42.1,greenish diarrhea,fatigue,twisted neck,Newcastle Disease
Sheep,1,41.4,jaundice,fatigue,swelling in abdomen,Rift Valley Fever
Sheep,8,42.1,swelling in abdomen,mass abortion,jaundice,Rift Valley Fever
Goat,8,42.4,loss of appetite,painful cough,shortness of breath,CCPP
Sheep,4,41.1,sores on mouth,sores on gums,matted eyes,PPR
Goat,6,41.0,mass abortion,swelling in abdomen,blood in stool,Rift Valley Fever
Goat,2,41.5,chills,mass abortion,blood in stool,Rift Valley Fever
Goat,1,41.6,swelling in abdomen,fatigue,chills,Rift Valley Fever
Goat,5,41.4,chills,sweats,blood in stool,Rift Valley Fever
Sheep,5,41.3,fatigue,sores on gums,sores on tongue,PPR
Poultry,7,44.7,greenish diarrhea,difficulty walking,twisted neck,Newcastle Disease
Poultry,7,43.1,greenish diarrhea,twisted neck,depression,Newcastle Disease
Sheep,7,40.5,sores on gums,foul diarrhea,fatigue,PPR
Cow,8,41.5,loss of appetite,frothing at mouth,swelling in neck,East Coast Fever
Cow,1,42.1,lacrimation,frothing at mouth,loss of appetite,East Coast Fever
Goat,3,41.4,loss of appetite,chest discomfort,fatigue,CCPP
Goat,2,41.2,fatigue,loss of appetite,matted eyes,PPR
Goat,2,41.3,shortness of breath,extended neck,chest discomfort,CCPP
Sheep,6,42.2,blood in stool,swelling in abdomen,mass abortion,Rift Valley Fever
Goat,3,41.4,sores on gums,sores on tongue,loss of appetite,PPR
Poultry,7,44.7,difficulty walking,twisted neck,fatigue,Newcastle Disease
Poultry,2,42.7,sudden death,chills,twisted neck,Newcastle Disease
Sheep,5,41.4,fatigue,sores on tongue,sores on gums,PPR
Goat,7,41.4,shortness of breath,loss of appetite,crackling sound,CCPP
Cow,6,41.9,fatigue,swelling in abdomen,sweats,Rift Valley Fever
Cow,3,41.1,lacrimation,swelling in limb,difficulty walking,East Coast Fever
Goat,3,41.4,blood in stool,fatigue,sweats,Rift Valley Fever
Goat,4,41.3,sores on tongue,fatigue,foul diarrhea,PPR
Goat,6,40.9,foul diarrhea,sores on tongue,sores on mouth,PPR
Poultry,4,42.9,greenish diarrhea,twisted neck,depression,Newcastle Disease
Goat,3,41.6,shortness of breath,fatigue,painful cough,CCPP
Poultry,5,43.3,depression,sudden death,twisted neck,Newcastle Disease
Cow,3,42.0,frothing at mouth,swelling in limb,difficulty walking,East Coast Fever
Goat,6,41.8,fatigue,painful cough,extended neck,CCPP
Sheep,6,41.8,chills,fatigue,mass abortion,Rift Valley Fever
Cow,6,42.6,fatigue,swelling in neck,loss of appetite,East Coast Fever
Cow,1,42.0,frothing at mouth,lacrimation,difficulty walking,East Coast Fever
Goat,3,42.2,shortness of breath,extended neck,loss of appetite,CCPP
Sheep,6,40.4,sores on tongue,sores on gums,sores on mouth,PPR
Cow,4,41.8,frothing at mouth,swelling in neck,difficulty walking,East Coast Fever
Cow,4,42.4,mass abortion,blood in stool,sweats,Rift Valley Fever
Sheep,2,40.9,foul diarrhea,sores on gums,loss of appetite,PPR
Goat,3,40.4,sores on tongue,fatigue,sores on gums,PPR
Cow,5,42.2,fatigue,frothing at mouth,difficulty walking,East Coast Fever
Poultry,3,42.7,difficulty walking,sudden death,greenish diarrhea,Newcastle Disease
Poultry,4,42.4,depression,chills,fatigue,Newcastle Disease
Goat,7,42.2,matted eyes,sores on gums,loss of appetite,PPR
Goat,2,42.4,fatigue,shortness of breath,loss of appetite,CCPP
Sheep,3,41.9,sweats,fatigue,mass abortion,Rift Valley Fever
Poultry,4,44.2,sudden death,difficulty walking,depression,Newcastle Disease
Goat,7,42.1,fatigue,shortness of breath,crackling sound,CCPP
Goat,5,41.7,shortness of breath,painful cough,crackling sound,CCPP
Sheep,7,41.3,sores on gums,sores on tongue,sores on mouth,PPR
Sheep,8,41.9,sores on gums,matted eyes,foul diarrhea,PPR
Poultry,8,43.1,greenish diarrhea,sudden death,difficulty walking,Newcastle Disease
Sheep,8,42.3,mass abortion,sweats,blood in stool,Rift Valley Fever
Cow,4,42.9,swelling in limb,frothing at mouth,lacrimation,East Coast Fever
Goat,8,40.4,loss of appetite,matted eyes,foul diarrhea,PPR
Goat,5,41.5,fatigue,blood in stool,jaundice,Rift Valley Fever
Cow,8,42.4,frothing at mouth,fatigue,lacrimation,East Coast Fever
Goat,7,41.1,swelling in abdomen,chills,fatigue,Rift Valley Fever
Cow,4,41.4,chills,mass abortion,fatigue,Rift Valley Fever
Goat,3,42.1,fatigue,extended neck,crackling sound,CCPP
Goat,4,42.0,shortness of breath,chest discomfort,extended neck,CCPP
Goat,2,41.2,sores on tongue,foul diarrhea,fatigue,PPR
Poultry,3,42.1,difficulty walking,greenish diarrhea,depression,Newcastle Disease
Cow,3,41.6,fatigue,blood in stool,chills,Rift Valley Fever
Poultry,3,44.1,difficulty walking,chills,twisted neck,Newcastle Disease
Goat,4,42.2,crackling sound,shortness of breath,chest discomfort,CCPP
Goat,7,41.9,painful cough,extended neck,chest discomfort,CCPP
Sheep,3,41.6,foul diarrhea,loss of appetite,fatigue,PPR
Poultry,1,43.6,twisted neck,fatigue,depression,Newcastle Disease
Cow,4,41.5,chills,mass abortion,blood in stool,Rift Valley Fever
Goat,6,40.3,foul diarrhea,loss of appetite,matted eyes,PPR
Poultry,8,42.9,depression,greenish diarrhea,sudden death,Newcastle Disease
Sheep,3,41.5,swelling in abdomen,jaundice,sweats,Rift Valley Fever
Goat,2,41.3,painful cough,crackling sound,fatigue,CCPP
Goat,7,41.5,chills,fatigue,blood in stool,Rift Valley Fever
Cow,3,42.0,fatigue,chills,blood in stool,Rift Valley Fever
Sheep,5,41.9,sores on mouth,loss of appetite,foul diarrhea,PPR
Goat,8,41.5,chest discomfort,painful cough,loss of appetite,CCPP
Poultry,2,44.3,difficulty walking,fatigue,depression,Newcastle Disease
Poultry,7,43.8,twisted neck,difficulty walking,depression,Newcastle Disease
Cow,2,40.8,sweats,jaundice,fatigue,Rift Valley Fever
Sheep,1,40.7,sores on tongue,fatigue,sores on mouth,PPR
Goat,6,40.7,extended neck,shortness of breath,loss of appetite,CCPP
Cow,8,41.0,blood in stool,sweats,fatigue,Rift Valley Fever
Cow,3,42.8,loss of appetite,swelling in neck,difficulty walking,East Coast Fever
Goat,1,41.9,fatigue,crackling sound,extended neck,CCPP
Goat,1,42.4,fatigue,shortness of breath,crackling sound,CCPP
Poultry,7,43.3,greenish diarrhea,fatigue,twisted neck,Newcastle Disease
Sheep,7,41.5,foul diarrhea,sores on mouth,fatigue,PPR
Sheep,4,41.6,fatigue,mass abortion,sweats,Rift Valley Fever
Cow,6,41.2,fatigue,swelling in neck,frothing at mouth,East Coast Fever
Goat,7,41.2,loss of appetite,sores on gums,sores on tongue,PPR
Goat,7,40.3,sores on tongue,matted eyes,loss of appetite,PPR
Cow,7,42.1,lacrimation,loss of appetite,frothing at mouth,East Coast Fever
Cow,6,42.3,frothing at mouth,swelling in neck,difficulty walking,East Coast Fever
Cow,7,42.3,blood in stool,mass abortion,chills,Rift Valley Fever
Sheep,5,41.1,chills,swelling in abdomen,jaundice,Rift Valley Fever
Poultry,8,44.4,chills,depression,twisted neck,Newcastle Disease
Sheep,1,40.7,sores on tongue,matted eyes,sores on gums,PPR
Goat,6,41.4,loss of appetite,crackling sound,extended neck,CCPP
Cow,8,42.8,lacrimation,frothing at mouth,swelling in neck,East Coast Fever
Goat,1,40.7,foul diarrhea,fatigue,sores on mouth,PPR
Goat,3,41.1,painful cough,fatigue,crackling sound,CCPP
Goat,7,41.8,shortness of breath,loss of appetite,crackling sound,CCPP
Goat,4,41.0,extended neck,painful cough,shortness of breath,CCPP
Poultry,3,43.0,sudden death,depression,difficulty walking,Newcastle Disease
Goat,6,41.1,sweats,chills,mass abortion,Rift Valley Fever
Poultry,5,44.1,difficulty walking,greenish diarrhea,fatigue,Newcastle Disease
Goat,6,41.6,sores on tongue,sores on gums,sores on mouth,PPR
Poultry,2,43.3,twisted neck,greenish diarrhea,depression,Newcastle Disease
Goat,1,42.3,shortness of breath,painful cough,loss of appetite,CCPP
Cow,2,41.7,fatigue,sweats,jaundice,Rift Valley Fever
Goat,3,41.6,loss of appetite,fatigue,chest discomfort,CCPP
Goat,7,40.8,jaundice,mass abortion,sweats,Rift Valley Fever
Cow,6,41.4,swelling in limb,swelling in neck,difficulty walking,East Coast Fever
Cow,5,41.5,jaundice,mass abortion,blood in stool,Rift Valley Fever
Cow,5,42.5,fatigue,swelling in limb,loss of appetite,East Coast Fever
Cow,5,42.4,lacrimation,swelling in neck,frothing at mouth,East Coast Fever
Goat,1,42.3,swelling in abdomen,jaundice,mass abortion,Rift Valley Fever
Poultry,7,43.8,chills,depression,twisted neck,Newcastle Disease
Sheep,2,41.3,sweats,chills,mass abortion,Rift Valley Fever
Poultry,4,43.2,chills,twisted neck,difficulty walking,Newcastle Disease
Cow,3,41.9,lacrimation,difficulty walking,fatigue,East Coast Fever
Poultry,3,44.2,depression,chills,fatigue,Newcastle Disease
Goat,3,42.0,painful cough,crackling sound,chest discomfort,CCPP
Cow,3,41.7,swelling in limb,difficulty walking,frothing at mouth,East Coast Fever
Goat,2,41.1,sores on mouth,sores on gums,foul diarrhea,PPR
Goat,5,42.0,chest discomfort,painful cough,shortness of breath,CCPP
Cow,5,41.6,swelling in limb,lacrimation,difficulty walking,East Coast Fever
Goat,7,40.9,fatigue,sores on mouth,foul diarrhea,PPR
Goat,3,41.6,fatigue,loss of appetite,painful cough,CCPP
Sheep,4,41.0,fatigue,sores on tongue,sores on gums,PPR
Goat,8,41.1,jaundice,swelling in abdomen,mass abortion,Rift Valley Fever
Poultry,1,42.9,sudden death,difficulty walking,depression,Newcastle Disease
Goat,2,41.2,crackling sound,loss of appetite,painful cough,CCPP
Poultry,5,43.3,greenish diarrhea,sudden death,twisted neck,Newcastle Disease
Goat,2,41.4,fatigue,painful cough,crackling sound,CCPP
Cow,3,41.9,sweats,fatigue,mass abortion,Rift Valley Fever
Goat,5,41.0,loss of appetite,foul diarrhea,matted eyes,PPR
Goat,4,40.9,foul diarrhea,sores on tongue,fatigue,PPR
Goat,1,41.8,painful cough,fatigue,crackling sound,CCPP
Sheep,6,42.5,swelling in abdomen,jaundice,fatigue,Rift Valley Fever
Cow,1,42.2,loss of appetite,lacrimation,swelling in limb,East Coast Fever
Poultry,1,43.3,fatigue,twisted neck,chills,Newcastle Disease
Sheep,8,41.6,fatigue,swelling in abdomen,mass abortion,Rift Valley Fever
Sheep,5,41.1,matted eyes,foul diarrhea,loss of appetite,PPR
Goat,2,41.5,shortness of breath,crackling sound,chest discomfort,CCPP
Sheep,2,41.5,fatigue,sores on tongue,sores on mouth,PPR
Goat,4,41.8,sores on mouth,sores on gums,sores on tongue,PPR
Poultry,8,43.1,chills,sudden death,greenish diarrhea,Newcastle Disease
Goat,8,41.1,swelling in abdomen,jaundice,fatigue,Rift Valley Fever
Cow,2,42.0,swelling in neck,fatigue,loss of appetite,East Coast Fever
Poultry,5,42.7,sudden death,chills,depression,Newcastle Disease
Goat,4,42.3,crackling sound,chest discomfort,shortness of breath,CCPP
Sheep,3,41.9,jaundice,fatigue,chills,Rift Valley Fever
Sheep,1,42.1,mass abortion,sweats,swelling in abdomen,Rift Valley Fever
Poultry,7,44.5,greenish diarrhea,sudden death,fatigue,Newcastle Disease
Goat,7,41.1,shortness of breath,fatigue,chest discomfort,CCPP
Cow,6,41.7,swelling in abdomen,jaundice,blood in stool,Rift Valley Fever
Sheep,7,40.8,foul diarrhea,matted eyes,sores on gums,PPR
Poultry,3,43.9,twisted neck,depression,difficulty walking,Newcastle Disease
Poultry,5,42.7,greenish diarrhea,fatigue,chills,Newcastle Disease
Goat,8,41.6,shortness of breath,chest discomfort,loss of appetite,CCPP
Poultry,7,43.3,chills,sudden death,greenish diarrhea,Newcastle Disease
Goat,3,42.3,jaundice,chills,fatigue,Rift Valley Fever
Goat,3,40.6,extended neck,shortness of breath,chest discomfort,CCPP
Goat,2,42.2,sweats,chills,fatigue,Rift Valley Fever
Goat,8,41.1,sores on mouth,foul diarrhea,fatigue,PPR
Poultry,8,44.3,fatigue,greenish diarrhea,depression,Newcastle Disease
Cow,4,42.9,frothing at mouth,fatigue,difficulty walking,East Coast Fever
Cow,8,41.7,lacrimation,frothing at mouth,loss of appetite,East Coast Fever
Poultry,3,44.2,sudden death,greenish diarrhea,fatigue,Newcastle Disease
Goat,5,40.7,foul diarrhea,matted eyes,sores on gums,PPR
Poultry,1,43.5,fatigue,depression,difficulty walking,Newcastle Disease
Goat,8,42.1,jaundice,blood in stool,chills,Rift Valley Fever
Goat,6,40.8,crackling sound,shortness of breath,extended neck,CCPP
Goat,4,40.7,sores on gums,sores on mouth,loss of appetite,PPR
Goat,6,41.6,loss of appetite,fatigue,crackling sound,CCPP
Goat,7,41.6,sores on tongue,sores on mouth,loss of appetite,PPR
Cow,2,42.8,fatigue,loss of appetite,swelling in limb,East Coast Fever
Cow,2,42.1,blood in stool,mass abortion,jaundice,Rift Valley Fever
Sheep,8,41.5,sores on gums,sores on mouth,foul diarrhea,PPR
Poultry,2,42.8,difficulty walking,sudden death,depression,Newcastle Disease
Poultry,8,43.0,sudden death,chills,twisted neck,Newcastle Disease
Goat,3,40.6,sores on gums,loss of appetite,matted eyes,PPR
Poultry,4,42.5,chills,depression,sudden death,Newcastle Disease
Goat,4,41.3,chest discomfort,crackling sound,painful cough,CCPP
Cow,4,42.0,swelling in limb,difficulty walking,loss of appetite,East Coast Fever
Goat,4,41.2,loss of appetite,fatigue,chest discomfort,CCPP
Sheep,1,42.0,chills,jaundice,sweats,Rift Valley Fever
Cow,6,42.5,frothing at mouth,loss of appetite,swelling in limb,East Coast Fever
Sheep,1,40.6,foul diarrhea,loss of appetite,fatigue,PPR
Poultry,3,42.9,sudden death,depression,twisted neck,Newcastle Disease
Poultry,3,44.0,twisted neck,difficulty walking,sudden death,Newcastle Disease
Cow,8,41.9,frothing at mouth,lacrimation,difficulty walking,East Coast Fever
Goat,4,41.7,painful cough,fatigue,crackling sound,CCPP
Goat,3,41.2,matted eyes,sores on mouth,fatigue,PPR
Cow,7,41.7,difficulty walking,lacrimation,swelling in limb,East Coast Fever
Sheep,4,41.2,fatigue,foul diarrhea,sores on tongue,PPR
Sheep,4,40.3,foul diarrhea,matted eyes,loss of appetite,PPR
Sheep,2,40.4,sores on mouth,fatigue,sores on gums,PPR
Cow,5,42.8,frothing at mouth,swelling in neck,lacrimation,East Coast Fever
Cow,1,41.4,jaundice,swelling in abdomen,blood in stool,Rift Valley Fever
Goat,6,42.5,fatigue,painful cough,extended neck,CCPP
Goat,2,41.7,loss of appetite,shortness of breath,chest discomfort,CCPP
Goat,1,41.3,loss of appetite,fatigue,foul diarrhea,PPR
Poultry,7,43.6,fatigue,depression,twisted neck,Newcastle Disease
Cow,6,41.6,frothing at mouth,loss of appetite,swelling in limb,East Coast Fever
Sheep,1,40.8,fatigue,foul diarrhea,sores on gums,PPR
Poultry,3,43.2,fatigue,difficulty walking,depression,Newcastle Disease
Poultry,5,44.3,sudden death,greenish diarrhea,depression,Newcastle Disease
Sheep,2,42.0,blood in stool,mass abortion,swelling in abdomen,Rift Valley Fever
Goat,1,41.9,blood in stool,chills,sweats,Rift Valley Fever
Sheep,6,40.6,chills,blood in stool,swelling in abdomen,Rift Valley Fever
Sheep,8,40.4,sores on mouth,sores on gums,matted eyes,PPR
Cow,6,40.8,fatigue,swelling in abdomen,jaundice,Rift Valley Fever
Poultry,5,43.3,greenish diarrhea,twisted neck,depression,Newcastle Disease
Poultry,3,43.6,difficulty walking,greenish diarrhea,sudden death,Newcastle Disease
Goat,2,41.5,loss of appetite,painful cough,crackling sound,CCPP
Poultry,7,43.5,fatigue,chills,difficulty walking,Newcastle Disease
Poultry,1,43.9,fatigue,chills,difficulty walking,Newcastle Disease
Goat,7,42.2,extended neck,shortness of breath,painful cough,CCPP
Goat,4,40.9,sores on tongue,foul diarrhea,fatigue,PPR
Goat,8,40.9,loss of appetite,fatigue,sores on tongue,PPR
Goat,4,42.7,sweats,swelling in abdomen,mass abortion,Rift Valley Fever
Goat,4,41.5,jaundice,blood in stool,sweats,Rift Valley Fever
Sheep,2,41.5,chills,mass abortion,sweats,Rift Valley Fever
Cow,8,41.7,lacrimation,loss of appetite,swelling in limb,East Coast Fever
Poultry,8,43.4,chills,fatigue,depression,Newcastle Disease
Cow,7,42.9,lacrimation,swelling in neck,fatigue,East Coast Fever
Goat,7,41.4,fatigue,sores on gums,foul diarrhea,PPR
Goat,1,41.9,sores on mouth,fatigue,sores on gums,PPR
Goat,5,41.0,loss of appetite,foul diarrhea,sores on mouth,PPR
Cow,8,42.7,swelling in limb,difficulty walking,swelling in neck,East Coast Fever
Sheep,4,41.0,sweats,swelling in abdomen,blood in stool,Rift Valley Fever
Poultry,2,43.8,sudden death,depression,difficulty walking,Newcastle Disease
Sheep,1,41.7,sores on tongue,sores on gums,matted eyes,PPR
Goat,1,41.5,shortness of breath,loss of appetite,fatigue,CCPP
Goat,4,41.9,fatigue,loss of appetite,chest discomfort,CCPP
Goat,7,41.2,loss of appetite,extended neck,shortness of breath,CCPP
Cow,2,42.5,swelling in neck,loss of appetite,lacrimation,East Coast Fever
Goat,5,42.5,crackling sound,shortness of breath,chest discomfort,CCPP
Poultry,2,44.3,twisted neck,depression,difficulty walking,Newcastle Disease
Poultry,2,42.2,greenish diarrhea,sudden death,depression,Newcastle Disease
Goat,2,41.4,painful cough,crackling sound,shortness of breath,CCPP
Goat,7,41.4,shortness of breath,extended neck,crackling sound,CCPP
Sheep,7,41.2,blood in stool,chills,jaundice,Rift Valley Fever
Goat,8,41.6,sores on mouth,loss of appetite,matted eyes,PPR
Poultry,7,43.3,depression,chills,fatigue,Newcastle Disease
Goat,7,41.2,shortness of breath,loss of appetite,chest discomfort,CCPP
Sheep,3,40.4,matted eyes,foul diarrhea,sores on tongue,PPR
Cow,5,41.5,fatigue,swelling in neck,lacrimation,East Coast Fever
Goat,5,42.0,extended neck,shortness of breath,painful cough,CCPP
Cow,6,42.1,fatigue,swelling in limb,swelling in neck,East Coast Fever
Goat,5,41.0,extended neck,fatigue,loss of appetite,CCPP
Goat,8,42.0,shortness of breath,extended neck,painful cough,CCPP
Poultry,6,43.1,fatigue,sudden death,greenish diarrhea,Newcastle Disease
Goat,7,41.3,swelling in abdomen,mass abortion,blood in stool,Rift Valley Fever
Poultry,4,42.8,sudden death,fatigue,twisted neck,Newcastle Disease
Goat,5,40.1,sores on tongue,sores on gums,fatigue,PPR
Sheep,4,41.3,matted eyes,sores on tongue,fatigue,PPR
Cow,5,41.6,fatigue,swelling in limb,lacrimation,East Coast Fever
Goat,6,41.1,painful cough,shortness of breath,chest discomfort,CCPP
Goat,1,41.4,extended neck,chest discomfort,shortness of breath,CCPP
Goat,6,42.3,painful cough,loss of appetite,shortness of breath,CCPP
Poultry,3,44.5,fatigue,twisted neck,depression,Newcastle Disease
Sheep,8,41.3,sweats,chills,blood in stool,Rift Valley Fever
Goat,3,41.6,painful cough,fatigue,shortness of breath,CCPP
Cow,8,41.5,difficulty walking,frothing at mouth,fatigue,East Coast Fever
Goat,4,41.7,foul diarrhea,matted eyes,loss of appetite,PPR
Goat,6,41.4,crackling sound,chest discomfort,shortness of breath,CCPP
Goat,4,41.8,shortness of breath,loss of appetite,fatigue,CCPP
Cow,4,41.6,mass abortion,chills,fatigue,Rift Valley Fever
Poultry,3,43.5,twisted neck,fatigue,difficulty walking,Newcastle Disease
Sheep,3,41.2,jaundice,mass abortion,fatigue,Rift Valley Fever
Cow,1,41.0,mass abortion,swelling in abdomen,sweats,Rift Valley Fever
Goat,6,40.9,loss of appetite,sores on mouth,sores on gums,PPR
Cow,4,42.0,swelling in limb,loss of appetite,frothing at mouth,East Coast Fever
Poultry,5,43.7,chills,twisted neck,greenish diarrhea,Newcastle Disease
Goat,3,41.3,loss of appetite,painful cough,chest discomfort,CCPP
Goat,6,41.3,sores on tongue,foul diarrhea,sores on gums,PPR
Goat,8,41.1,shortness of breath,chest discomfort,crackling sound,CCPP
Goat,8,41.5,foul diarrhea,sores on gums,matted eyes,PPR
Poultry,5,42.7,twisted neck,depression,fatigue,Newcastle Disease
Goat,8,41.1,chest discomfort,painful cough,crackling sound,CCPP
